loss,ICC,PCC,RMSE,MAE,ACC,F1-b
0.484231130695,0.695841778391,0.714877058326,0.960720686605,0.701460695267,0.5012,0.741248658656
0.402896701908,0.698951267945,0.721202290827,0.888718756392,0.653053295612,0.52536,0.765459990141
0.44605516777,0.697407405764,0.710400230214,0.934288597086,0.688391196728,0.5132,0.752677054578
0.406145530224,0.696011820951,0.72420965796,0.893730848411,0.66457041502,0.50944,0.755930348888
0.437460722351,0.691914735519,0.712874755408,0.922068198655,0.674739336967,0.52552,0.759088986026
0.436001229191,0.69671518659,0.715727279045,0.91860518257,0.667136466503,0.52792,0.755977492439
0.445278170872,0.68115661624,0.69925884471,0.934021010418,0.681993436813,0.51216,0.746670854034
0.435662326336,0.692911604121,0.707604665719,0.922150732778,0.664928591251,0.5312,0.758662796058
0.408492342377,0.685182460738,0.713772342147,0.894130753554,0.645659470558,0.53448,0.7611511323
0.409448276901,0.673523095986,0.709374879802,0.894677230968,0.656896460056,0.5324,0.759140947279
0.426786020756,0.689243862579,0.709171261459,0.912522796872,0.660429149866,0.52656,0.755168836458
0.41074390192,0.68236549836,0.714009350611,0.89812046287,0.660515666008,0.5156,0.758757614086
0.415695456886,0.686354316204,0.711312843522,0.901889639556,0.655597949028,0.52952,0.757303447233
0.425836538029,0.685797761554,0.707418668998,0.91310167744,0.661964261532,0.526,0.758512069893
0.425166079903,0.688651498437,0.707847159431,0.913015226522,0.664378905296,0.5244,0.751734340356
0.417532313061,0.684852356606,0.705918784965,0.903074549974,0.652891635895,0.53536,0.760467487656
0.418231263351,0.6912300652,0.711678535568,0.904387569157,0.658298462629,0.52864,0.756083700528
0.417193468571,0.685790323072,0.707339526455,0.903575122126,0.655839264393,0.5312,0.758608459343
0.409572246552,0.687115816023,0.710938242039,0.895824283416,0.651548624039,0.53176,0.760317927141
0.432305431652,0.685243507143,0.705636998399,0.918092731074,0.673217308521,0.52,0.75615933865
0.418098419476,0.676440059553,0.701224718083,0.903473659793,0.654187488556,0.5312,0.761625102886
0.414471095657,0.689512974363,0.712923522548,0.900406521525,0.650929141045,0.53656,0.761358829202
0.427577351856,0.685213523391,0.707642562857,0.911891629512,0.666673105955,0.5276,0.759092605785
0.420880617619,0.68616377942,0.708997652739,0.906589194448,0.667884004116,0.51888,0.751895220262
0.414050711823,0.683670783837,0.708060594746,0.900833653608,0.649016702175,0.5336,0.757381745661
0.412469784546,0.692095928561,0.714584312886,0.897459063911,0.648793405294,0.53576,0.760090402353
0.410774165154,0.68820345134,0.712410149241,0.89565930308,0.654921448231,0.53152,0.764196720958
0.414307466316,0.685144283356,0.711887066027,0.899782924555,0.65790733099,0.53016,0.761698895867
0.418267463875,0.677966681084,0.704184965725,0.904273354159,0.66119273901,0.52528,0.757414061885
0.413543813038,0.686989521364,0.709549876225,0.898515965976,0.646770870686,0.53744,0.764134090474
0.422518786716,0.683693626677,0.704799371422,0.909448451924,0.654399031401,0.53048,0.757533835731
0.419899679375,0.676031624317,0.705421456859,0.905336169697,0.670357453823,0.52224,0.755691892333
