loss,ICC,PCC,RMSE,MAE,ACC,F1-b
0.115466086984,0.68767844458,0.727568860897,0.464087270632,0.287330737958,0.847966666667,0.579027818769
0.0823634413719,0.793611092415,0.811389667604,0.396896201957,0.231869731098,0.879033333333,0.676393658143
0.07684779585,0.816528871529,0.837456495177,0.378642462759,0.213859896486,0.900833333333,0.725637339204
0.0600139588833,0.843413645327,0.861253627433,0.336517452898,0.172163654119,0.912866666667,0.759645835001
0.0618655372739,0.863710054851,0.881199261483,0.344182243835,0.193047193189,0.9039,0.754072189948
0.0516828490138,0.874721771485,0.884554620579,0.313667594037,0.173124086733,0.920366666667,0.793927347128
0.0525640312374,0.866309567014,0.878997593472,0.318012711544,0.177129698917,0.9178,0.785315296455
0.0611905410528,0.849121836571,0.887207753443,0.342612086266,0.181368451566,0.9172,0.781707961905
0.0449687499762,0.883034485085,0.890979737064,0.292626992174,0.157567309216,0.9252,0.801655229819
0.0451958014309,0.892309281755,0.91028564697,0.29566701692,0.158915401747,0.932666666667,0.822250166178
0.0391359925032,0.909294548456,0.914680224608,0.272975924298,0.154776455835,0.932266666667,0.818708231982
0.0530942423224,0.871478553668,0.893003018865,0.318836619708,0.17970396392,0.9128,0.754322121795
0.0393356071532,0.903881173586,0.913551377678,0.274760793972,0.14631871072,0.933833333333,0.834067530543
0.0445144953966,0.902048491987,0.909276480292,0.286642014557,0.16318313498,0.9244,0.814152138569
0.0401758666694,0.900880990986,0.914390412179,0.276837930352,0.147122401744,0.933,0.836011951586
0.0413734029293,0.899719924574,0.918740921573,0.28181524386,0.145095585535,0.932033333333,0.833093801809
0.0387710237503,0.907763729082,0.921945163583,0.271833566293,0.141701635594,0.935433333333,0.844199352893
0.0328810259104,0.916484495606,0.929899135434,0.25149231965,0.129850999763,0.943066666667,0.855571978271
0.0376744281471,0.911433917379,0.925929785275,0.269065496194,0.1434171622,0.937633333333,0.84684752081
