loss,ICC,PCC,RMSE,MAE,ACC,F1-b
0.606021029282,0.690050148891,0.707301213502,1.07865788999,0.829779231548,0.4084,0.701317786218
0.459564258671,0.681339299253,0.695227697095,0.951612990959,0.693358623981,0.50424,0.745817131871
0.535559656143,0.709005866346,0.713937725221,1.02039985334,0.748238229752,0.48288,0.741811392276
0.465662980366,0.691071417477,0.705471283649,0.957400735134,0.70666975975,0.49136,0.748220726837
0.491060579491,0.695665380253,0.705325090865,0.973895505894,0.70213111639,0.51296,0.750320803664
0.454335770035,0.690407019812,0.703001887359,0.944603134582,0.691394579411,0.5028,0.74854674554
0.504769003487,0.678603116459,0.692657920702,0.974380772493,0.714447128773,0.50368,0.748843752921
0.463869708252,0.669934313173,0.686682325269,0.949108662146,0.68615950346,0.51096,0.740971238674
0.444568908691,0.684098514058,0.696916113111,0.933082027987,0.669858109951,0.52712,0.751135401568
0.471918882847,0.669645630848,0.689185429443,0.961603399808,0.695098102093,0.5128,0.752161952109
0.495512615299,0.67131602483,0.688916204566,0.980802152247,0.736561882496,0.4672,0.733548168136
0.464375313568,0.670427658051,0.688325558306,0.949301136973,0.701699054241,0.49552,0.743230900844
0.449072450733,0.661393457944,0.681603640897,0.937824495912,0.679814863205,0.51512,0.755280047937
0.464542512608,0.680358940402,0.69080513187,0.953029332356,0.685405409336,0.516,0.756928359631
0.430158943558,0.664459332095,0.694394149636,0.917061655224,0.66534678936,0.52536,0.753474772819
0.432647272396,0.687689312129,0.704470420512,0.918561524253,0.652283465862,0.53552,0.763030035615
0.456895586395,0.690026776036,0.702039824116,0.942977362709,0.679241228104,0.52192,0.754090212885
0.444913116074,0.670170532177,0.695027348428,0.931976084158,0.692126369476,0.50744,0.743107848273
0.458183526325,0.677148325363,0.691196614796,0.943223353877,0.682240068913,0.51832,0.750371711514
